Name,URL,Submit URL,Submission Type,Type,Category,Sport,Verified,Notes,URL Verified,Submit URL Verified
Podmust,https://podmust.com,https://podmust.com/submit-podcast,Manual Submission,Free,Discovery,All Sports,Yes,Curated recommendations,Yes,No
Podtail,https://podtail.com,N/A,RSS Auto-Index,Free,Directory,All Sports,Yes,Swedish-based podcast directory,Yes,N/A
Podtrac,https://podtrac.com,https://analytics.podtrac.com,Analytics Platform,Free,Analytics,All Sports,Yes,Podcast measurement,Yes,Yes
Podverse,https://podverse.fm,N/A,RSS Auto-Index,Free,App,All Sports,Yes,"Open source, auto-indexes podcasts",Yes,N/A
Podyssey,https://podyssey.fm,https://podyssey.fm/claim,Claim Podcast,Free,Discovery,All Sports,Yes,"Podcast playlists, claim your show",Yes,Yes
RadioPublic,https://radiopublic.com,N/A,RSS Auto-Index,Free,Platform,All Sports,Yes,Auto-indexes podcasts,Yes,N/A
RedCircle,https://redcircle.com,https://redcircle.com,Host and Distribute,Free,Hosting,All Sports,Yes,Free hosting with monetization,Yes,Yes
Spotify for Podcasters,https://podcasters.spotify.com,https://podcasters.spotify.com,RSS Feed Submission,Free,Major Platform,All Sports,Yes,Submit RSS feed or host directly,Yes,Yes
Stitcher,https://stitcher.com,https://partners.stitcher.com,RSS Feed Submission,Free,Platform,All Sports,Yes,Partner program submission,No,Yes
TuneIn,https://tunein.com,https://help.tunein.com/contact/add-podcast-S1ikMkXBgr,Email Submission,Free,Platform,All Sports,Yes,Email RSS feed to TuneIn,Yes,Yes
Ximalaya (喜马拉雅),https://ximalaya.com,https://ximalaya.com,Upload Platform,Free,International,All Sports,Yes,Largest Chinese audio platform,Yes,Yes
YouTube Podcasts,https://youtube.com,https://support.google.com/youtube/answer/12158094,RSS Feed or Upload,Free,Major Platform,All Sports,Yes,RSS or direct video upload,Yes,No
iHeartRadio Podcasts,https://iheart.com,https://www.iheart.com/podcast-partners,Partnership Application,Free,Major Platform,All Sports,Yes,Apply for partnership,Yes,No
Acast,https://acast.com,https://www.acast.com/en/get-started,Host and Distribute,Free/Paid,Hosting,All Sports,Yes,Monetization-focused platform,Yes,No
Audioboom,https://audioboom.com,https://audioboom.com/about/creators,Host and Distribute,Free/Paid,Hosting,All Sports,Yes,Hosting with monetization,Yes,No
Buzzsprout,https://buzzsprout.com,https://buzzsprout.com,Host and Distribute,Free/Paid,Hosting,All Sports,Yes,"Free tier available, auto-distribution",Yes,Yes
Chartable,https://chartable.com,https://chartable.com,Analytics Platform,Free/Paid,Analytics,All Sports,Yes,Podcast analytics and SmartLinks,Yes,Yes
Mixcloud,https://mixcloud.com,https://mixcloud.com/upload,Upload Platform,Free/Paid,Platform,All Sports,Yes,Radio shows and podcasts,Yes,Yes
Pinecast,https://pinecast.com,https://pinecast.com,Host and Distribute,Free/Paid,Hosting,All Sports,Yes,Simple podcast hosting,Yes,Yes
Podbean,https://podbean.com,https://podbean.com,Host and Distribute,Free/Paid,Hosting,All Sports,Yes,Free tier with distribution,Yes,Yes
RSS.com,https://rss.com,https://rss.com,Host and Distribute,Free/Paid,Hosting,All Sports,Yes,Podcast hosting with free tier,Yes,Yes
Rephonic,https://rephonic.com,https://rephonic.com/claim,Claim Podcast,Free/Paid,Analytics,All Sports,Yes,Podcast analytics and insights,Yes,No
SoundCloud,https://soundcloud.com,https://soundcloud.com/for/podcasting,Upload Platform,Free/Paid,Platform,All Sports,Yes,Audio hosting with RSS feeds,Yes,Yes
Spreaker,https://spreaker.com,https://spreaker.com,Host and Distribute,Free/Paid,Hosting,All Sports,Yes,Free tier available,Yes,Yes
Blubrry,https://blubrry.com,https://create.blubrry.com/plans,Host and Distribute,Paid,Hosting,All Sports,Yes,WordPress-focused hosting,Yes,Yes
Captivate,https://captivate.fm,https://captivate.fm,Host and Distribute,Paid,Hosting,All Sports,Yes,Growth-focused hosting,Yes,Yes
Castos,https://castos.com,https://castos.com,Host and Distribute,Paid,Hosting,All Sports,Yes,WordPress podcast hosting,Yes,Yes
Downcast,https://downcast.fm,N/A,RSS Auto-Index,Paid,App,All Sports,Yes,Premium iOS podcast app,Yes,N/A
Fireside,https://fireside.fm,https://fireside.fm,Host and Distribute,Paid,Hosting,All Sports,Yes,Premium podcast hosting,Yes,Yes
Libsyn,https://libsyn.com,https://libsyn.com,Host and Distribute,Paid,Hosting,All Sports,Yes,Oldest podcast hosting service,Yes,Yes
Megaphone,https://megaphone.fm,https://megaphone.fm,Host and Distribute,Paid,Hosting,All Sports,Yes,Enterprise podcast platform,Yes,Yes
PodcastWebsites.com,https://podcastwebsites.com,https://podcastwebsites.com,Website Builder,Paid,Tool,All Sports,Yes,Podcast website creation,Yes,Yes
Podimo (Europe),https://podimo.com,https://podimo.com/creators,Creator Program,Paid,International,All Sports,Yes,European podcast platform,Yes,Yes
Podpage,https://podpage.com,https://podpage.com,Website Builder,Paid,Tool,All Sports,Yes,Auto-generated podcast websites,Yes,Yes
Resonate,https://resonaterecordings.com,https://resonaterecordings.com,Host and Distribute,Paid,Hosting,All Sports,Yes,Church and ministry focused,Yes,Yes
Simplecast,https://simplecast.com,https://simplecast.com,Host and Distribute,Paid,Hosting,All Sports,Yes,Professional podcast hosting,Yes,Yes
Transistor,https://transistor.fm,https://transistor.fm,Host and Distribute,Paid,Hosting,All Sports,Yes,Professional hosting platform,Yes,Yes
ATP Tour Podcasts,https://atptour.com/en/media/podcasts,N/A,Network Exclusive,Network Only,Sports Network,Tennis,Yes,Official ATP podcasts only,No,N/A
Barstool Sports,https://barstoolsports.com,N/A,Network Exclusive,Network Only,Network,All Sports,Yes,Internal shows only,Yes,N/A
Bleacher Report,https://bleacherreport.com,N/A,Network Exclusive,Network Only,Major Network,All Sports,Yes,Internal production only,Yes,N/A
ESPN Podcasts,https://espn.com/espnradio/podcasts,N/A,Network Exclusive,Network Only,Major Network,All Sports,Yes,"ESPN produces own content, no submissions",No,N/A
Formula 1 Podcasts,https://formula1.com/en/latest/audio,N/A,Network Exclusive,Network Only,Sports Network,Formula 1,Yes,Official F1 podcasts only,No,N/A
MLB Podcasts,https://mlb.com/podcasts,N/A,Network Exclusive,Network Only,Sports Network,Baseball,Yes,Official MLB podcasts only,Yes,N/A
MLS Podcasts,https://mlssoccer.com/podcasts,N/A,Network Exclusive,Network Only,Sports Network,Soccer,Yes,Official MLS podcasts only,No,N/A
NBA Podcasts,https://nba.com/podcasts,N/A,Network Exclusive,Network Only,Sports Network,Basketball,Yes,Official NBA podcasts only,Yes,N/A
NFL Podcasts,https://nfl.com/podcasts,N/A,Network Exclusive,Network Only,Sports Network,American Football,Yes,Official NFL podcasts only,Yes,N/A
NHL Podcasts,https://nhl.com/podcasts,N/A,Network Exclusive,Network Only,Sports Network,Hockey,Yes,Official NHL podcasts only,Yes,N/A
PGA Tour Podcasts,https://pgatour.com/podcasts,N/A,Network Exclusive,Network Only,Sports Network,Golf,Yes,Official PGA podcasts only,No,N/A
The Ringer,https://theringer.com,N/A,Network Exclusive,Network Only,Major Network,All Sports,Yes,"Spotify-owned, internal production",Yes,N/A
UFC Podcasts,https://ufc.com/podcasts,N/A,Network Exclusive,Network Only,Sports Network,MMA,Yes,Official UFC podcasts only,Yes,N/A
WTA Podcasts,https://wtatennis.com/podcasts,N/A,Network Exclusive,Network Only,Sports Network,Tennis,Yes,Official WTA podcasts only,No,N/A
The Athletic,https://theathletic.com/podcasts,N/A,Staff/Partnership Only,Subscription,Major Network,All Sports,Yes,"Premium network, staff-produced",Yes,N/A
